Queue Number,Latitute,Longitude,Queue Date,Substation Name,Substation Transformer,Capacity (MW),Interdependency Status
VA21360, 36.60834, -77.55679, 6/4/21, Trego, TX#1, 5, Project A
VA23226, , , 6/23/23, Trego, TX#1, 26, Project A
VA22064, 36.61399, -77.543248, 3/16/22, Trego, TX#1, 26, Project B
VA23227, , , 6/23/23, Trego, TX#1, 20, Project B
VA21048, 36.7072, -77.0919, 1/14/21, Watkins Corner, TX#2, 1, Project B
VA21356, 36.637505, -76.9503, 6/4/21, Watkins Corner, TX#2, 15, Project B
VA21087, 38.073665, -76.655655, 1/28/21, Westmoreland, TX#1, 1, Project A
VA22221, 38.0704984, -76.7754918999999, 9/7/22, Westmoreland, TX#1, 0, Project A
(2023, 4)
VA20400, 38.244334, -77.203437, 10/15/20, Arnolds Corner, TX#1, 5, Project B
VA20479, 38.257822, -77.243459, 10/30/20, Arnolds Corner, TX#1, 1, Project B
VA23027, , , 1/24/23, Chase City, TX#1, 20, Project B
VA23090, , , 4/5/23, Chase City, TX#1, 5, Project B
VA21297, 38.36759, -77.48208, 5/3/21, Cranes Corner, TX#2, 3, Project A
VA23391, , , 9/19/23, Cranes Corner, TX#2, 0, Project A
VA20209, 37.1887704, -78.21621637, 8/4/20, Crewe, TX#1, 3, Project A
VA22201, 37.152379, -78.136094, 8/23/22, Crewe, TX#1, 4.98, Project A
VA21095, 37.183258, -78.189925, 1/28/21, Crewe, TX#1, 5, Project B
VA22217, 37.165817, -78.096444, 9/7/22, Crewe, TX#1, 3, Project B
VA20290, 37.764667, -77.437185, 10/2/20, Hanover, TX#2, 26, Project A
VA22183, 37.75512, -77.45976, 8/4/22, Hanover, TX#2, 1.25, Project A
VA20268, 37.760711, -77.47709, 9/22/20, Hanover, TX#4, 0.055, Project A
VA22309, 37.718128, -77.431794, 10/27/22, Hanover, TX#4, 5, Project A
VA21027, 37.269226, -77.513515, 1/8/21, Locks, TX#4, 2.5, Project A
VA22176, 37.21665, -77.45142, 7/26/22, Locks, TX#4, 2.5, Project A
VA19135, 36.4637, -76.0032, 11/14/19, Pendleton, TX#2, 10, Project A
VA23445, 36.771128095, -75.956452827, 10/23/23, Pendleton, TX#2, 1.5, Project A
VA21105, 37.003444, -79.014583, 1/28/21, Perth, TX#1, 5, Project A
VA21107, 37.00468, -78.973005, 1/28/21, Perth, TX#1, 5, Project A
VA19132, 36.888545, -76.611078, 10/22/19, Smithfield, TX#2, 0, Project A
VA22314, 37.016496, -76.637656, 11/2/22, Smithfield, TX#2, 19.2, Project A
VA21087, 38.073665, -76.655655, 1/28/21, Westmoreland, TX#1, 1, Project A
VA22221, 38.0704984, -76.7754918999999, 9/7/22, Westmoreland, TX#1, 0, Project A
(2024, 1)
VA20400, 38.244334, -77.203437, 10/15/20, Arnolds Corner, TX#1, 5, Project B
VA20479, 38.257822, -77.243459, 10/30/20, Arnolds Corner, TX#1, 1, Project B
VA23027, , , 1/24/23, Chase City, TX#1, 20, Project B
VA23090, , , 4/5/23, Chase City, TX#1, 5, Project B
VA22251, 38.3618839291315, -77.4725877447426, 9/19/22, Cranes Corner, TX#2, 2.5, Project A
VA23391, , , 9/19/23, Cranes Corner, TX#2, 0, Project A
